age,diameter,length,material,install_year,condition_score,criticality,pressure_zone,Failure_Tot,failure,longitude,latitude
38,150,3.13356972182598,DI,1986.0,9.1,6,0,0,0,,
38,150,1.42029387405289,DI,1986.0,9.1,0,0,0,0,,
57,200,17.8777072448309,CI,1967.0,7.85,7,1,6,1,-80.4722271450058,43.4258397985575
57,200,209.861418383568,CI,1967.0,4.6,7,1,6,1,-80.4722271450058,43.4258397985575
57,200,12.8550743175607,CI,1967.0,7.85,7,1,6,1,-80.4722271450058,43.4258397985575
20,150,3.84192408560368,PVC,2004.0,9.35,7,1,0,0,,
20,150,30.7711776895556,PVC,2004.0,9.35,7,1,0,0,,
20,150,1.90142670631971,PVC,2004.0,9.35,0,1,0,0,,
20,150,35.8509652281732,PVC,2004.0,9.35,7,1,0,0,,
31,150,7.99427576195268,DI,1993.0,9.1,6,1,0,0,,
31,150,121.220125677817,DI,1993.0,9.1,6,1,0,0,,
31,150,156.239881225715,DI,1993.0,9.1,6,1,0,0,,
31,150,140.776399070659,DI,1993.0,9.1,6,1,0,0,,
31,150,8.38033179244448,DI,1993.0,9.1,6,1,0,0,,
57,200,45.3044384496188,DI,1967.0,5.3,5,1,0,0,,
70,150,11.8872410596228,CI,1954.0,7.75,6,1,4,1,-80.4514507158217,43.4374963918403
70,150,168.377487709454,CI,1954.0,4.1,6,1,4,1,-80.4514507158217,43.4374963918403
47,200,1.37645148554938,DI,1977.0,8.5,7,1,0,0,,
47,200,9.48936206718531,DI,1977.0,8.5,6,1,0,0,,
47,200,229.680646717216,DI,1977.0,8.5,8,1,0,0,,
40,300,174.563474016058,DI,1984.0,9.1,7,1,0,0,,
40,300,0.489813689149053,DI,1984.0,9.1,6,1,0,0,,
17,300,13.0237823833453,PVC,2007.0,9.35,6,3,0,0,,
21,300,58.407289212112,PVC,2003.0,9.35,6,3,0,0,,
21,300,7.34709639508732,PVC,2003.0,9.35,6,3,0,0,,
45,150,6.60272633317823,DI,1979.0,8.5,6,0,0,0,,
45,150,300.394604287073,DI,1979.0,8.5,6,0,0,0,,
45,150,7.59775617371573,DI,1979.0,8.5,6,0,0,0,,
45,150,112.6813292351,DI,1979.0,8.5,6,0,0,0,,
29,300,25.2988888327486,PVC,1995.0,9.35,6,3,0,0,,
29,300,87.71660262388,PVC,1995.0,9.35,7,3,0,0,,
22,150,71.0404762625438,PVC,2002.0,9.35,6,3,0,0,,
48,150,7.84290612405911,DI,1976.0,8.5,6,3,1,1,-80.5366554199915,43.4137299358975
48,150,7.58761335870817,DI,1976.0,8.5,6,3,1,1,-80.5366554199915,43.4137299358975
48,150,1.52578042931212,DI,1976.0,8.5,6,3,1,1,-80.5366554199915,43.4137299358975
48,150,254.289374255107,DI,1976.0,8.5,6,3,1,1,-80.5366554199915,43.4137299358975
48,150,150.22231567387,DI,1976.0,7.3,6,3,1,1,-80.5366554199915,43.4137299358975
50,300,16.9262792912181,DI,1974.0,8.5,7,2,0,0,,
50,300,187.769982317466,DI,1974.0,8.5,7,2,0,0,,
46,300,83.8339916513466,DI,1978.0,8.5,7,1,0,0,,
